,Date,gap,Open,Open_1,mov_high,mov_low,cierre,Volume,Close
65,2021-01-15,-0.16025641025641252,62.3,62.922999999999995,1.0759181857190643,-1.2602704893282142,0.6468223066287425,9361943,63.33
66,2021-01-14,-7.363991584009626,61.64,62.2564,1.4032292262321677,-1.2792259109103616,0.2306590165830329,8694806,62.4
67,2021-05-06,5.630198336532315,66.04,66.7004,-0.03058452423073188,-2.339416255374782,-0.24047831797110011,7478830,66.54
68,2021-01-07,-0.0807102502017825,61.9,62.519,1.1532494121787036,-1.5979142340728343,0.0015995137478283,10614670,62.52
69,2021-01-06,-0.6820828481117894,59.7,60.297000000000004,2.9570293712788263,-0.9900990099009922,2.7414299218866587,12222470,61.95
70,2021-01-04,0.7037418468932436,58.67,59.2567,1.5243845843592276,-2.2389029426208387,1.4400059402565402,15520000,60.11
71,2020-12-31,-11.340852130325816,56.6,57.166000000000004,2.08865409509148,-1.0600706713780947,1.9137249413987232,10870510,58.26
72,2021-04-29,0.29484792054624104,64.63,65.27629999999999,-0.9900990099009849,-2.981633456553135,-2.2003391736357436,9238834,63.84
73,2021-04-28,0.030926240915410574,64.69,65.3369,-0.97479372299573,-2.2604378230372126,-1.3727311825323856,7861262,64.44
74,2021-04-27,0.273722627737215,65.94,66.5994,-0.9000081081811591,-2.9720988477373647,-2.8970230963041725,7278340,64.67
75,2021-04-26,-0.04581551618815079,65.45,66.1045,-0.3396137933121136,-1.6103291001368973,-0.5211445514299275,6868441,65.76
76,2021-04-23,-0.21328458257160354,65.5,66.155,-0.6877787015342729,-1.9272919658378136,-1.0203310407376571,5463490,65.48
77,2021-04-22,-0.4641413385237344,66.48,67.1448,-0.9454194516924594,-2.404951686504394,-2.2411266397397904,6488708,65.64
78,2021-04-21,0.24103645676410188,66.54,67.20540000000001,-0.4395480125109217,-1.2281751168805124,-0.6181050927455313,5581003,66.79
79,2021-04-20,-0.22744503411676376,65.8,66.458,0.22871588070661322,-1.727406783231509,-0.11736735983629203,4989422,66.38
80,2021-04-19,9.12958115183247,66.7,67.367,-0.5447771163923054,-2.637790015883149,-2.10340374367272,7204089,65.95
81,2020-12-01,0.9460580912863075,60.82,61.428200000000004,0.8982845012551123,-1.0226573463002442,-0.5017239639123505,9623207,61.12
82,2020-11-24,-1.6331243813922713,59.63,60.2263,1.2514466271379694,-1.0565151769243644,0.03935157896134755,7835432,60.25
83,2020-11-10,-2.388508434942375,58.44,59.0244,4.109486924051753,-1.4305948048603632,2.7032888093737464,10524420,60.62
84,2020-11-04,-8.150324775750072,59.39,59.9839,2.01070620616532,-1.0234412900795065,-0.18988428561664214,12935150,59.87
85,2021-04-12,-0.07679311933650308,65.06,65.7106,-0.9140077856540649,-2.070594394207335,-1.5988288038763958,4909103,64.66
86,2021-04-09,-0.30759766225777124,64.82,65.4682,-0.3332915827836964,-1.8760253069429145,-0.5471358613800235,5848292,65.11
87,2021-04-08,0.7621951219512196,66.1,66.761,-0.7654169350369163,-2.89240724375009,-2.6078099489222746,6778517,65.02
88,2021-04-07,-0.22648346670693897,66.08,66.7408,-0.6155155467120483,-2.263682784743349,-1.7092992592237413,5188703,65.6
89,2021-04-06,-0.5125113053964476,66.0,66.66,-0.22502250225021223,-1.335133513351336,-0.645064506450634,5708316,66.23
90,2021-04-05,-0.36122817579770455,66.2,66.86200000000001,-0.5115013011875399,-1.9921629625198285,-0.7807125123388554,6071176,66.34
91,2021-04-01,1.7329413585022508,65.75,66.4075,0.6512818582238521,-1.471972292286251,0.048940255242252546,10514200,66.44
92,2021-03-31,-0.24427480916030014,65.34,65.99340000000001,-0.9900990099009974,-2.3235656899023454,-2.0659641721748123,8817165,64.63
93,2021-03-30,13.599863317956592,66.49,67.1549,-0.9900990099009944,-3.015267687093574,-2.4643026793279383,5608053,65.5
94,2020-10-29,-12.873078082604772,57.8,58.378,0.8770427215731961,-2.2919592997362037,0.26037205796704416,12529370,58.53
95,2020-09-14,0.7032348804500637,64.44,65.0844,4.35680439552335,-1.1898396543564969,1.929187332141037,18854221,66.34
96,2021-03-25,-1.2198841110094498,64.78,65.4278,-0.8372587799070262,-2.885317861826327,-2.197536826853421,7391000,63.99
97,2020-09-11,-0.20155038759689217,64.37,65.0137,1.378632503610772,-1.2208196118664238,0.8710471792868246,10213000,65.58
98,2021-03-23,-2.1709836801916493,65.34,65.99340000000001,-0.8082626444462847,-2.596320238084425,-2.2629535680840935,6572127,64.5
99,2020-09-02,1.3341607198262482,65.32,65.97319999999999,1.49575888391044,-0.9900990099009875,1.2380784924787869,8334710,66.79
100,2021-03-19,-3.7303370786516776,64.26,64.9026,-0.3891985837239202,-2.022415126666733,-0.6819449451948195,15230300,64.46
101,2020-08-31,-0.36529680365298184,65.46,66.1146,1.1728120566410518,-1.050600018755304,0.9610585256509216,9083871,66.75
102,2020-08-19,-5.212659315480454,66.19,66.8519,0.9245810515482705,-2.0222312305259846,-1.7230624709245326,19680289,65.7
103,2021-08-03,8.847312509909633,68.65,69.3365,0.7261687567154421,-1.624685411002873,0.7117463385085739,5128404,69.83
104,2021-03-15,1.283300844704352,62.35,62.9735,0.31203601514922996,-1.752324390418198,0.1532390608748107,8780987,63.07
105,2021-03-12,-0.9510223490252043,62.49,63.114900000000006,-0.8316578177260874,-2.57451093165006,-2.463602097127625,11561050,61.56
106,2021-03-11,-0.6258801439524309,63.51,64.1451,-0.16384727750053096,-1.7695817763165096,-1.6448645336900183,9940602,63.09
107,2021-03-10,0.5440696409140503,64.68,65.3268,-0.8064071713293909,-2.643325557045507,-2.1687883074021825,7595490,63.91
108,2021-03-09,-4.933971847337094,65.51,66.16510000000001,0.7479774080292888,-2.864198799669332,-2.773516551777313,8973303,64.33
109,2021-05-13,-3.297173850984873,67.75,68.4275,0.8074239158233301,-1.4431332432136161,0.7051258631398221,7189959,68.91
110,2021-07-28,13.565188725894187,68.9,69.58900000000001,0.8061618934026826,-1.2343904927503035,0.6768311083648125,7097186,70.06
111,2020-11-30,-4.764940239043828,59.76,60.3576,0.7163969408989113,-1.1889140721301004,0.517581878669801,16315670,60.67
112,2021-03-03,-7.648183556405348,62.79,63.4179,-0.15437281903059352,-1.9677409690324044,-1.0531726846836666,7081333,62.75
113,2021-01-20,1.777305180009117,67.0,67.67,0.620659080833459,-1.4334269247820286,0.47288310920643295,10131250,67.99
114,2021-02-04,5.684039087947887,64.89,65.5389,0.6882935172851493,-1.676714134658959,0.44416369514898807,7400443,65.83
115,2021-02-26,-0.015926102882621453,62.78,63.4078,-0.9743280795107266,-3.1822583341481665,-3.166487403757902,10396340,61.4
116,2021-02-25,-7.90005777007509,63.77,64.4077,-0.6795771313057393,-2.946386845051147,-2.511656215017779,7685278,62.79
117,2021-08-10,7.19221105527639,68.26,68.9426,0.4748878052176698,-1.4397484284027524,0.43137334536265837,5928258,69.24
118,2021-02-23,-0.4055529558571175,63.85,64.4885,-0.5093931476154746,-2.6493095668219926,-1.2537119021220873,8714604,63.68
119,2021-02-22,-0.6835482367562604,63.93,64.5693,-0.15378825540930366,-1.609588457672605,-0.7113287584037599,6597733,64.11
120,2021-02-19,-0.22995554192856918,65.08,65.7308,-0.7771090569413475,-2.2223980234532457,-2.07026234276777,6054624,64.37
121,2021-02-18,6.171222786053357,64.86,65.5086,-0.07418873247177855,-1.7991530882968083,-0.42528767215296515,6144617,65.23
122,2020-11-16,-7.006172839506172,60.26,60.8626,0.7186679504326083,-1.0065294614426603,0.37362846805756394,6969344,61.09
123,2021-02-16,-0.7175960532217132,66.41,67.0741,-0.7068302071887764,-3.8078781526699657,-3.390429390778265,9756966,64.8
124,2021-02-12,-0.20920502092050294,66.78,67.4478,-0.26361126678706326,-1.6128027897129356,-0.8270099247121483,3977653,66.89
125,2021-02-11,6.345940813419854,67.2,67.872,-0.9900990099009858,-2.6844648750589384,-1.4026402640264,6029087,66.92
126,2020-09-30,-7.355126300148582,62.35,62.9735,0.724908096262711,-1.371211700159594,0.3437954060041071,10072600,63.19
127,2021-02-09,-0.29424746211564345,67.77,68.4477,-0.8878311469925129,-2.334190922412299,-1.6767546608578525,6620390,67.3
